target_cell,1,2,3,4,5,6,7,8,9,10
SEU-ALLEN_local_17300_25672_41306_3846_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_25676_41674_3377_CCFv3.swc,0,0,0,2,2,3,1,1,0,0
SEU-ALLEN_local_17300_25702_15876_3843_CCFv3.swc,0,1,1,13,1,8,4,3,4,0
SEU-ALLEN_local_17300_25708_15832_5259_CCFv3.swc,1,1,1,2,11,2,0,0,0,0
SEU-ALLEN_local_17300_25735_42008_5079_CCFv3.swc,0,1,0,0,3,0,0,0,0,0
SEU-ALLEN_local_17300_25751_17226_3948_CCFv3.swc,0,0,1,3,0,3,1,0,0,0
SEU-ALLEN_local_17300_25755_42258_5088_CCFv3.swc,0,2,3,5,4,0,0,0,0,0
SEU-ALLEN_local_17300_25774_41110_3998_CCFv3.swc,1,0,0,0,1,1,2,1,0,0
SEU-ALLEN_local_17300_25778_42056_4714_CCFv3.swc,5,9,2,2,3,2,0,0,0,0
SEU-ALLEN_local_17300_25788_16278_5274_CCFv3.swc,0,0,0,0,3,5,3,4,2,0
SEU-ALLEN_local_17300_25794_41394_4094_CCFv3.swc,0,2,5,5,0,0,0,0,0,0
SEU-ALLEN_local_17300_25797_43536_4592_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_25826_15100_3914_CCFv3.swc,0,0,2,5,4,4,2,4,0,0
SEU-ALLEN_local_17300_25896_16972_4040_CCFv3.swc,1,0,0,0,1,0,1,1,1,1
SEU-ALLEN_local_17300_25906_16998_4075_CCFv3.swc,0,0,1,1,0,0,0,0,0,0
SEU-ALLEN_local_17300_25924_41996_5086_CCFv3.swc,0,0,4,0,0,2,0,0,0,0
SEU-ALLEN_local_17300_26126_42316_3718_CCFv3.swc,0,0,0,1,1,0,0,0,0,0
SEU-ALLEN_local_17300_26144_17196_3500_CCFv3.swc,1,0,0,4,2,1,0,0,0,0
SEU-ALLEN_local_17300_26231_43066_4837_CCFv3.swc,0,0,1,0,0,0,0,2,0,1
SEU-ALLEN_local_17300_26242_42588_4027_CCFv3.swc,0,0,0,0,0,0,0,0,0,1
SEU-ALLEN_local_17300_26292_19794_3533_CCFv3.swc,0,0,0,0,0,0,0,0,1,0
SEU-ALLEN_local_17300_26338_19459_3643_CCFv3.swc,1,0,1,0,0,1,0,1,0,0
SEU-ALLEN_local_17300_26342_15386_5445_CCFv3.swc,0,0,0,0,0,0,2,0,0,0
SEU-ALLEN_local_17300_26376_15432_5231_CCFv3.swc,0,2,0,2,1,0,0,0,0,0
SEU-ALLEN_local_17300_26456_15490_4073_CCFv3.swc,0,0,0,0,0,1,2,0,0,0
SEU-ALLEN_local_17300_26514_19666_3565_CCFv3.swc,0,0,0,0,0,0,1,0,0,0
SEU-ALLEN_local_17300_26534_19686_3555_CCFv3.swc,0,0,0,0,0,0,2,1,0,0
SEU-ALLEN_local_17300_26563_39360_4300_CCFv3.swc,0,0,2,1,6,4,0,0,0,0
SEU-ALLEN_local_17300_26564_19642_3898_CCFv3.swc,0,0,0,1,1,0,0,0,0,0
SEU-ALLEN_local_17300_26640_41288_3769_CCFv3.swc,0,0,0,2,0,1,0,0,0,0
SEU-ALLEN_local_17300_26682_18740_3887_CCFv3.swc,0,0,0,1,1,0,0,0,0,0
SEU-ALLEN_local_17300_26684_18822_4032_CCFv3.swc,0,0,0,1,0,0,0,0,0,0
SEU-ALLEN_local_17300_26692_17782_3525_CCFv3.swc,0,0,1,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_26802_41310_4312_CCFv3.swc,0,1,0,3,1,3,0,0,0,0
SEU-ALLEN_local_17300_26814_18104_3693_CCFv3.swc,0,1,1,4,4,1,0,0,0,0
SEU-ALLEN_local_17300_26827_16568_3888_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_26861_41866_4430_CCFv3.swc,0,0,0,1,0,1,0,0,0,0
SEU-ALLEN_local_17300_26910_18264_3465_CCFv3.swc,2,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_26936_41264_4215_CCFv3.swc,0,1,2,0,2,0,0,0,0,0
SEU-ALLEN_local_17300_26973_19254_4027_CCFv3.swc,0,0,1,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_27020_19148_4035_CCFv3.swc,0,2,1,1,0,0,0,0,0,0
SEU-ALLEN_local_17300_27081_41700_4524_CCFv3.swc,0,0,0,0,0,0,0,1,0,0
SEU-ALLEN_local_17300_27122_41362_4734_CCFv3.swc,0,0,0,1,2,0,0,0,0,0
SEU-ALLEN_local_17300_27160_37606_4309_CCFv3.swc,0,0,1,1,1,6,0,0,0,0
SEU-ALLEN_local_17300_27222_41465_4668_CCFv3.swc,0,0,0,0,1,0,0,0,0,1
SEU-ALLEN_local_17300_27242_21075_4074_CCFv3.swc,0,0,0,3,1,0,0,1,0,0
SEU-ALLEN_local_17300_27483_37140_4416_CCFv3.swc,0,0,0,2,0,0,1,0,0,0
SEU-ALLEN_local_17300_27518_37533_4755_CCFv3.swc,0,0,0,1,1,0,0,0,0,0
SEU-ALLEN_local_17300_27584_18938_3950_CCFv3.swc,0,0,0,0,0,3,0,0,0,0
SEU-ALLEN_local_17300_27594_36424_4300_CCFv3.swc,0,0,0,1,0,0,0,0,0,0
SEU-ALLEN_local_17300_27606_37427_4792_CCFv3.swc,0,5,1,0,2,0,0,1,0,0
SEU-ALLEN_local_17300_27633_36624_4296_CCFv3.swc,0,2,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_27706_37622_4879_CCFv3.swc,0,0,0,1,0,0,0,0,0,0
SEU-ALLEN_local_17300_27976_40052_5049_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_27984_34490_4376_CCFv3.swc,0,0,0,0,0,0,0,0,1,0
SEU-ALLEN_local_17300_28309_38015_4099_CCFv3.swc,1,1,1,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_28332_34380_4704_CCFv3.swc,0,0,0,1,0,0,0,0,0,0
SEU-ALLEN_local_17300_28737_36529_4113_CCFv3.swc,0,0,0,0,0,0,0,0,0,1
SEU-ALLEN_local_17301_10150_5800_4295_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17301_10480_3931_4436_CCFv3.swc,0,0,1,0,1,0,0,0,0,0
SEU-ALLEN_local_17301_11030_2979_4150_CCFv3.swc,0,0,0,0,0,1,0,0,0,0
SEU-ALLEN_local_17301_11316_3645_4540_CCFv3.swc,0,1,1,0,0,0,0,0,0,0
SEU-ALLEN_local_17301_21816_5976_4584_CCFv3.swc,0,0,1,0,0,0,0,0,0,0
SEU-ALLEN_local_17301_22278_4069_4332_CCFv3.swc,0,0,0,0,1,0,0,0,0,0
SEU-ALLEN_local_17301_23476_7698_3936_CCFv3.swc,0,0,2,0,0,0,0,0,0,0
SEU-ALLEN_local_17301_23575_6728_4158_CCFv3.swc,0,0,2,0,0,0,0,0,0,0
SEU-ALLEN_local_17301_23654_7151_3926_CCFv3.swc,1,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17301_23736_4568_4587_CCFv3.swc,1,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17301_23738_4466_4036_CCFv3.swc,0,1,0,0,0,0,0,0,0,0
