target_cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
SEU-ALLEN_local_17052_27229_7656_3422_CCFv3.swc,0,7,19,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_27308_7870_3448_CCFv3.swc,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_27552_8244_3465_CCFv3.swc,0,7,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_27824_3938_5941_CCFv3.swc,1,11,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_27828_7599_3827_CCFv3.swc,0,14,15,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_27936_7506_4600_CCFv3.swc,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_28009_4194_5679_CCFv3.swc,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_28216_5887_5395_CCFv3.swc,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_28268_4665_5677_CCFv3.swc,11,31,8,16,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_28509_7124_4712_CCFv3.swc,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_28805_5821_5462_CCFv3.swc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_5104_4372_5935_CCFv3.swc,0,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_5176_7390_4599_CCFv3.swc,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_5281_8284_4335_CCFv3.swc,0,5,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_5448_9381_4271_CCFv3.swc,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_5541_10556_3773_CCFv3.swc,0,0,10,8,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_6182_6928_4742_CCFv3.swc,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_6412_7449_3910_CCFv3.swc,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_7039_5256_4859_CCFv3.swc,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_7691_3680_6142_CCFv3.swc,2,0,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_8606_5855_4127_CCFv3.swc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_8887_5821_4149_CCFv3.swc,42,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17052_9933_3896_4610_CCFv3.swc,0,23,15,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17109_6760_6209_4162_CCFv3.swc,0,0,4,104,1,20,28,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_20448_14614_2752_CCFv3.swc,0,0,5,7,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_20493_14876_2608_CCFv3.swc,0,0,12,39,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_20514_15176_2605_CCFv3.swc,8,21,0,18,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_20550_15390_2613_CCFv3.swc,0,3,3,27,9,9,23,0,4,6,0,8,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_20824_15712_2490_CCFv3.swc,4,2,10,35,31,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_21171_14216_3031_CCFv3.swc,14,13,9,28,74,67,73,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_21290_15936_2486_CCFv3.swc,0,13,18,12,19,50,18,16,0,0,6,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_21304_14640_2965_CCFv3.swc,0,28,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_21378_15328_2740_CCFv3.swc,0,0,27,11,34,9,12,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_21478_15198_2753_CCFv3.swc,0,22,3,27,15,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_21487_14173_2736_CCFv3.swc,0,0,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_21492_14750_2762_CCFv3.swc,0,14,2,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_21494_14529_2862_CCFv3.swc,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_21714_43966_3352_CCFv3.swc,0,0,5,0,1,54,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_21830_12724_3367_CCFv3.swc,1,1,1,17,39,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_21986_13440_3057_CCFv3.swc,0,6,8,16,36,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22018_16144_2454_CCFv3.swc,3,4,3,38,3,12,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22117_43966_3194_CCFv3.swc,0,0,16,0,22,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22338_43734_3239_CCFv3.swc,0,0,2,37,44,26,8,0,0,41,6,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22344_43520_3334_CCFv3.swc,0,13,9,2,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22408_15784_2616_CCFv3.swc,0,0,9,8,9,0,19,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22468_15554_2837_CCFv3.swc,0,0,20,28,7,7,28,0,2,2,0,8,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22488_43570_3478_CCFv3.swc,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22502_14488_3326_CCFv3.swc,0,0,6,5,50,57,14,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22537_14984_2965_CCFv3.swc,1,12,31,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22706_44376_3243_CCFv3.swc,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22814_44134_3958_CCFv3.swc,1,21,0,0,2,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22848_12962_3850_CCFv3.swc,4,0,27,30,26,23,16,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22921_41115_3564_CCFv3.swc,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_22997_15130_3003_CCFv3.swc,0,13,19,41,37,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_23002_14810_3037_CCFv3.swc,0,0,3,7,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_23128_44166_3243_CCFv3.swc,4,12,12,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_23210_15090_2600_CCFv3.swc,0,27,10,33,80,25,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_23448_14960_2653_CCFv3.swc,0,18,0,1,42,22,35,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_23478_15452_3230_CCFv3.swc,0,0,14,9,15,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_23493_15224_2590_CCFv3.swc,6,26,41,67,26,38,110,25,61,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_23563_15764_2791_CCFv3.swc,6,3,0,6,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_23572_14258_3983_CCFv3.swc,0,0,7,39,42,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_23597_15412_2976_CCFv3.swc,0,0,0,4,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEU-ALLEN_local_17300_23686_44336_3686_CCFv3.swc,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
