,x_umap,y_umap,x_sp,y_sp,region,soma_x,soma_y,soma_z,label,color
SEU-ALLEN_local_17783_18984_6574_5367_CCFv3,14.34998,1.1727163,1.139376271792088,3.750227700061294,CA1,291.686,76.86,260.869,2,#fc8d62
SEU-ALLEN_local_17783_19047_6966_5025_CCFv3,11.257759,11.331703,-0.7541846794951985,1.1643843168000025,CA1,271.818,79.465,261.373,2,#fc8d62
SEU-ALLEN_local_17783_19127_6792_4991_CCFv3,11.887467,10.560141,-0.22412811306346217,0.5873392933826692,CA1,270.205,77.37100000000001,262.48199999999997,2,#fc8d62
SEU-ALLEN_local_17783_19677_6618_5296_CCFv3,12.293058,14.095881,-1.9583024274196879,1.27272594633856,CA1,287.635,76.671,269.233,2,#fc8d62
SEU-ALLEN_local_17783_21814_6294_5283_CCFv3,15.695045,0.43506667,-0.3605470930205687,0.8545973560007063,CA1,287.488,73.041,295.85900000000004,2,#fc8d62
SEU-ALLEN_local_17783_22252_7043_5286_CCFv3,12.095585,-12.272546,5.671274601537085,2.3443893112549405,CA1,286.532,81.791,302.041,1,#66c2a5
SEU-ALLEN_local_17783_22430_6686_5619_CCFv3,16.882433,2.2204733,-1.4929738433668305,1.9032321584558776,CA1,305.524,80.067,304.495,2,#fc8d62
SEU-ALLEN_local_17783_22674_6659_5497_CCFv3,12.535495,-12.105815,3.9591705857442885,-0.04188609965123206,CA1,298.812,78.965,307.34000000000003,1,#66c2a5
SEU-ALLEN_local_17783_22722_6114_5496_CCFv3,15.612704,0.7156269,-0.9598001053218125,0.2023167185266976,CA1,299.57,72.518,307.43,2,#fc8d62
SEU-ALLEN_local_17783_23479_6440_5166_CCFv3,12.36801,-12.018248,4.432989145781245,3.1348019500767523,CA1,280.655,75.053,317.428,1,#66c2a5
SEU-ALLEN_local_17783_23529_6358_5461_CCFv3,16.206152,1.1134416,-0.5614588072881477,1.400546600868099,CA1,297.153,75.734,318.053,2,#fc8d62
SEU-ALLEN_local_17783_4420_7863_6436_CCFv3,13.323315,1.574689,-0.34014553194695923,1.6610458228741742,CA1,347.56296000000003,112.54299999999999,379.463,2,#fc8d62
SEU-ALLEN_local_17783_4972_7308_6398_CCFv3,13.347751,7.4933567,-0.7893993819660173,0.9203245427827775,CA1,345.725,104.344,371.63800000000003,2,#fc8d62
SEU-ALLEN_local_17785_29318_9561_6064_CCFv3,14.625432,8.447826,-1.2737558296398241,1.8656538307194377,CA1,314.755,139.511,381.114,2,#fc8d62
SEU-ALLEN_local_17785_29409_9825_6174_CCFv3,16.652172,-2.3545592,-0.29487183312146825,-0.11628511338161486,CA1,321.029,142.875,381.692,1,#66c2a5
SEU-ALLEN_local_17785_29494_10709_6204_CCFv3,16.34769,2.7658222,-0.606464110294383,2.8754193584905745,CA1,324.11404,155.743,381.902,2,#fc8d62
SEU-ALLEN_local_17785_29533_11215_6196_CCFv3,16.41231,-0.48512584,-0.7344392004512665,0.953614703583678,CA1,324.53700000000003,163.255,382.142,2,#fc8d62
SEU-ALLEN_local_17785_29583_10333_6132_CCFv3,15.186267,-1.591398,1.2801623810958611,1.6213778297865136,CA1,319.67400000000004,150.434,383.855,2,#fc8d62
SEU-ALLEN_local_17785_29593_11458_6165_CCFv3,11.566316,18.552765,-0.24047858887876467,-1.345014531080141,CA1,323.332,166.953,383.007,2,#fc8d62
SEU-ALLEN_local_17785_29599_10989_6161_CCFv3,15.631696,-0.56188065,0.5198513172128109,-1.5173478130042857,CA1,322.366,160.00799999999998,383.391,2,#fc8d62
SEU-ALLEN_local_17785_29654_11133_6232_CCFv3,14.3584585,-3.3890505,1.5150149396628396,1.1408946617690192,CA1,326.35200000000003,161.832,383.95,1,#66c2a5
SEU-ALLEN_local_17785_29663_10051_6278_CCFv3,12.426712,9.613577,-2.772523609706338,2.2402864117259798,CA1,327.056,145.653,384.973,2,#fc8d62
SEU-ALLEN_local_17785_4232_9742_6576_CCFv3,16.754951,-2.6392815,0.1250090646474325,3.4782681450454054,CA1,337.961,139.593,386.8,1,#66c2a5
SEU-ALLEN_local_17785_4853_12728_6190_CCFv3,15.464165,-0.41095376,-1.376379603924436,1.3098208626058205,CA1,321.987,182.828,375.93199999999996,2,#fc8d62
SEU-ALLEN_local_17785_5597_7718_6139_CCFv3,16.500689,-1.169888,-0.2565291321461925,1.8740604893812003,CA1,310.028,111.072,368.048,2,#fc8d62
SEU-ALLEN_local_17785_6705_14899_6080_CCFv3,12.071506,5.7555676,0.9829359970181168,1.593640999602947,CA1,319.83,215.415,351.19800000000004,1,#66c2a5
